run_id,status,output_digest,row_count,schema,seconds,snapshot_id,builder,paper_sha,paper_dirty
r1-01,ok,68409d83cc4d528cd78dd94f25c299f90a5349c4e19fe7266ff6fb80763bbb02,233596,"[[""aptDong"", ""String""], [""apt_name"", ""String""], [""apt_seq"", ""String""], [""bonbun"", ""String""], [""bubun"", ""String""], [""build_year"", ""Int64""], [""buyer_type"", ""String""], [""cancel_day"", ""String""], [""cancel_type"", ""String""], [""price_10k_krw"", ""Int64""], [""deal_day"", ""Int64""], [""deal_month"", ""Int64""], [""deal_year"", ""Int64""], [""dealing_type"", ""String""], [""agent_district"", ""String""], [""area_m2"", ""Float64""], [""floor"", ""Int64""], [""lot_number"", ""String""], [""landCd"", ""String""], [""landLeaseholdGbn"", ""String""], [""registration_date"", ""String""], [""roadNm"", ""String""], [""roadNmBonbun"", ""String""], [""roadNmBubun"", ""String""], [""roadNmCd"", ""String""], [""roadNmSeq"", ""String""], [""roadNmSggCd"", ""String""], [""roadNmbCd"", ""String""], [""district_code"", ""String""], [""seller_type"", ""String""], [""neighborhood_code"", ""String""], [""neighborhood"", ""String""], [""deal_date"", ""Date""]]",38.8,seoul-apartment-trades/20260922-6660c8e25162,0.4.0.dev0+096d023f9546,4fcca24e0506aaaa9bd018c58542ce8a84a348b4,False
r1-02,ok,68409d83cc4d528cd78dd94f25c299f90a5349c4e19fe7266ff6fb80763bbb02,233596,"[[""aptDong"", ""String""], [""apt_name"", ""String""], [""apt_seq"", ""String""], [""bonbun"", ""String""], [""bubun"", ""String""], [""build_year"", ""Int64""], [""buyer_type"", ""String""], [""cancel_day"", ""String""], [""cancel_type"", ""String""], [""price_10k_krw"", ""Int64""], [""deal_day"", ""Int64""], [""deal_month"", ""Int64""], [""deal_year"", ""Int64""], [""dealing_type"", ""String""], [""agent_district"", ""String""], [""area_m2"", ""Float64""], [""floor"", ""Int64""], [""lot_number"", ""String""], [""landCd"", ""String""], [""landLeaseholdGbn"", ""String""], [""registration_date"", ""String""], [""roadNm"", ""String""], [""roadNmBonbun"", ""String""], [""roadNmBubun"", ""String""], [""roadNmCd"", ""String""], [""roadNmSeq"", ""String""], [""roadNmSggCd"", ""String""], [""roadNmbCd"", ""String""], [""district_code"", ""String""], [""seller_type"", ""String""], [""neighborhood_code"", ""String""], [""neighborhood"", ""String""], [""deal_date"", ""Date""]]",38.3,seoul-apartment-trades/20260922-6660c8e25162,0.4.0.dev0+096d023f9546,4fcca24e0506aaaa9bd018c58542ce8a84a348b4,False
r1-03,ok,68409d83cc4d528cd78dd94f25c299f90a5349c4e19fe7266ff6fb80763bbb02,233596,"[[""aptDong"", ""String""], [""apt_name"", ""String""], [""apt_seq"", ""String""], [""bonbun"", ""String""], [""bubun"", ""String""], [""build_year"", ""Int64""], [""buyer_type"", ""String""], [""cancel_day"", ""String""], [""cancel_type"", ""String""], [""price_10k_krw"", ""Int64""], [""deal_day"", ""Int64""], [""deal_month"", ""Int64""], [""deal_year"", ""Int64""], [""dealing_type"", ""String""], [""agent_district"", ""String""], [""area_m2"", ""Float64""], [""floor"", ""Int64""], [""lot_number"", ""String""], [""landCd"", ""String""], [""landLeaseholdGbn"", ""String""], [""registration_date"", ""String""], [""roadNm"", ""String""], [""roadNmBonbun"", ""String""], [""roadNmBubun"", ""String""], [""roadNmCd"", ""String""], [""roadNmSeq"", ""String""], [""roadNmSggCd"", ""String""], [""roadNmbCd"", ""String""], [""district_code"", ""String""], [""seller_type"", ""String""], [""neighborhood_code"", ""String""], [""neighborhood"", ""String""], [""deal_date"", ""Date""]]",38.5,seoul-apartment-trades/20260922-6660c8e25162,0.4.0.dev0+096d023f9546,4fcca24e0506aaaa9bd018c58542ce8a84a348b4,False
r1-04,ok,68409d83cc4d528cd78dd94f25c299f90a5349c4e19fe7266ff6fb80763bbb02,233596,"[[""aptDong"", ""String""], [""apt_name"", ""String""], [""apt_seq"", ""String""], [""bonbun"", ""String""], [""bubun"", ""String""], [""build_year"", ""Int64""], [""buyer_type"", ""String""], [""cancel_day"", ""String""], [""cancel_type"", ""String""], [""price_10k_krw"", ""Int64""], [""deal_day"", ""Int64""], [""deal_month"", ""Int64""], [""deal_year"", ""Int64""], [""dealing_type"", ""String""], [""agent_district"", ""String""], [""area_m2"", ""Float64""], [""floor"", ""Int64""], [""lot_number"", ""String""], [""landCd"", ""String""], [""landLeaseholdGbn"", ""String""], [""registration_date"", ""String""], [""roadNm"", ""String""], [""roadNmBonbun"", ""String""], [""roadNmBubun"", ""String""], [""roadNmCd"", ""String""], [""roadNmSeq"", ""String""], [""roadNmSggCd"", ""String""], [""roadNmbCd"", ""String""], [""district_code"", ""String""], [""seller_type"", ""String""], [""neighborhood_code"", ""String""], [""neighborhood"", ""String""], [""deal_date"", ""Date""]]",38.4,seoul-apartment-trades/20260922-6660c8e25162,0.4.0.dev0+096d023f9546,4fcca24e0506aaaa9bd018c58542ce8a84a348b4,False
r1-05,ok,68409d83cc4d528cd78dd94f25c299f90a5349c4e19fe7266ff6fb80763bbb02,233596,"[[""aptDong"", ""String""], [""apt_name"", ""String""], [""apt_seq"", ""String""], [""bonbun"", ""String""], [""bubun"", ""String""], [""build_year"", ""Int64""], [""buyer_type"", ""String""], [""cancel_day"", ""String""], [""cancel_type"", ""String""], [""price_10k_krw"", ""Int64""], [""deal_day"", ""Int64""], [""deal_month"", ""Int64""], [""deal_year"", ""Int64""], [""dealing_type"", ""String""], [""agent_district"", ""String""], [""area_m2"", ""Float64""], [""floor"", ""Int64""], [""lot_number"", ""String""], [""landCd"", ""String""], [""landLeaseholdGbn"", ""String""], [""registration_date"", ""String""], [""roadNm"", ""String""], [""roadNmBonbun"", ""String""], [""roadNmBubun"", ""String""], [""roadNmCd"", ""String""], [""roadNmSeq"", ""String""], [""roadNmSggCd"", ""String""], [""roadNmbCd"", ""String""], [""district_code"", ""String""], [""seller_type"", ""String""], [""neighborhood_code"", ""String""], [""neighborhood"", ""String""], [""deal_date"", ""Date""]]",37.9,seoul-apartment-trades/20260922-6660c8e25162,0.4.0.dev0+096d023f9546,4fcca24e0506aaaa9bd018c58542ce8a84a348b4,False
r1-06,ok,68409d83cc4d528cd78dd94f25c299f90a5349c4e19fe7266ff6fb80763bbb02,233596,"[[""aptDong"", ""String""], [""apt_name"", ""String""], [""apt_seq"", ""String""], [""bonbun"", ""String""], [""bubun"", ""String""], [""build_year"", ""Int64""], [""buyer_type"", ""String""], [""cancel_day"", ""String""], [""cancel_type"", ""String""], [""price_10k_krw"", ""Int64""], [""deal_day"", ""Int64""], [""deal_month"", ""Int64""], [""deal_year"", ""Int64""], [""dealing_type"", ""String""], [""agent_district"", ""String""], [""area_m2"", ""Float64""], [""floor"", ""Int64""], [""lot_number"", ""String""], [""landCd"", ""String""], [""landLeaseholdGbn"", ""String""], [""registration_date"", ""String""], [""roadNm"", ""String""], [""roadNmBonbun"", ""String""], [""roadNmBubun"", ""String""], [""roadNmCd"", ""String""], [""roadNmSeq"", ""String""], [""roadNmSggCd"", ""String""], [""roadNmbCd"", ""String""], [""district_code"", ""String""], [""seller_type"", ""String""], [""neighborhood_code"", ""String""], [""neighborhood"", ""String""], [""deal_date"", ""Date""]]",38.1,seoul-apartment-trades/20260922-6660c8e25162,0.4.0.dev0+096d023f9546,4fcca24e0506aaaa9bd018c58542ce8a84a348b4,False
r1-07,ok,68409d83cc4d528cd78dd94f25c299f90a5349c4e19fe7266ff6fb80763bbb02,233596,"[[""aptDong"", ""String""], [""apt_name"", ""String""], [""apt_seq"", ""String""], [""bonbun"", ""String""], [""bubun"", ""String""], [""build_year"", ""Int64""], [""buyer_type"", ""String""], [""cancel_day"", ""String""], [""cancel_type"", ""String""], [""price_10k_krw"", ""Int64""], [""deal_day"", ""Int64""], [""deal_month"", ""Int64""], [""deal_year"", ""Int64""], [""dealing_type"", ""String""], [""agent_district"", ""String""], [""area_m2"", ""Float64""], [""floor"", ""Int64""], [""lot_number"", ""String""], [""landCd"", ""String""], [""landLeaseholdGbn"", ""String""], [""registration_date"", ""String""], [""roadNm"", ""String""], [""roadNmBonbun"", ""String""], [""roadNmBubun"", ""String""], [""roadNmCd"", ""String""], [""roadNmSeq"", ""String""], [""roadNmSggCd"", ""String""], [""roadNmbCd"", ""String""], [""district_code"", ""String""], [""seller_type"", ""String""], [""neighborhood_code"", ""String""], [""neighborhood"", ""String""], [""deal_date"", ""Date""]]",38.1,seoul-apartment-trades/20260922-6660c8e25162,0.4.0.dev0+096d023f9546,4fcca24e0506aaaa9bd018c58542ce8a84a348b4,False
r1-08,ok,68409d83cc4d528cd78dd94f25c299f90a5349c4e19fe7266ff6fb80763bbb02,233596,"[[""aptDong"", ""String""], [""apt_name"", ""String""], [""apt_seq"", ""String""], [""bonbun"", ""String""], [""bubun"", ""String""], [""build_year"", ""Int64""], [""buyer_type"", ""String""], [""cancel_day"", ""String""], [""cancel_type"", ""String""], [""price_10k_krw"", ""Int64""], [""deal_day"", ""Int64""], [""deal_month"", ""Int64""], [""deal_year"", ""Int64""], [""dealing_type"", ""String""], [""agent_district"", ""String""], [""area_m2"", ""Float64""], [""floor"", ""Int64""], [""lot_number"", ""String""], [""landCd"", ""String""], [""landLeaseholdGbn"", ""String""], [""registration_date"", ""String""], [""roadNm"", ""String""], [""roadNmBonbun"", ""String""], [""roadNmBubun"", ""String""], [""roadNmCd"", ""String""], [""roadNmSeq"", ""String""], [""roadNmSggCd"", ""String""], [""roadNmbCd"", ""String""], [""district_code"", ""String""], [""seller_type"", ""String""], [""neighborhood_code"", ""String""], [""neighborhood"", ""String""], [""deal_date"", ""Date""]]",38.3,seoul-apartment-trades/20260922-6660c8e25162,0.4.0.dev0+096d023f9546,4fcca24e0506aaaa9bd018c58542ce8a84a348b4,False
r1-09,ok,68409d83cc4d528cd78dd94f25c299f90a5349c4e19fe7266ff6fb80763bbb02,233596,"[[""aptDong"", ""String""], [""apt_name"", ""String""], [""apt_seq"", ""String""], [""bonbun"", ""String""], [""bubun"", ""String""], [""build_year"", ""Int64""], [""buyer_type"", ""String""], [""cancel_day"", ""String""], [""cancel_type"", ""String""], [""price_10k_krw"", ""Int64""], [""deal_day"", ""Int64""], [""deal_month"", ""Int64""], [""deal_year"", ""Int64""], [""dealing_type"", ""String""], [""agent_district"", ""String""], [""area_m2"", ""Float64""], [""floor"", ""Int64""], [""lot_number"", ""String""], [""landCd"", ""String""], [""landLeaseholdGbn"", ""String""], [""registration_date"", ""String""], [""roadNm"", ""String""], [""roadNmBonbun"", ""String""], [""roadNmBubun"", ""String""], [""roadNmCd"", ""String""], [""roadNmSeq"", ""String""], [""roadNmSggCd"", ""String""], [""roadNmbCd"", ""String""], [""district_code"", ""String""], [""seller_type"", ""String""], [""neighborhood_code"", ""String""], [""neighborhood"", ""String""], [""deal_date"", ""Date""]]",37.9,seoul-apartment-trades/20260922-6660c8e25162,0.4.0.dev0+096d023f9546,4fcca24e0506aaaa9bd018c58542ce8a84a348b4,False
r1-10,ok,68409d83cc4d528cd78dd94f25c299f90a5349c4e19fe7266ff6fb80763bbb02,233596,"[[""aptDong"", ""String""], [""apt_name"", ""String""], [""apt_seq"", ""String""], [""bonbun"", ""String""], [""bubun"", ""String""], [""build_year"", ""Int64""], [""buyer_type"", ""String""], [""cancel_day"", ""String""], [""cancel_type"", ""String""], [""price_10k_krw"", ""Int64""], [""deal_day"", ""Int64""], [""deal_month"", ""Int64""], [""deal_year"", ""Int64""], [""dealing_type"", ""String""], [""agent_district"", ""String""], [""area_m2"", ""Float64""], [""floor"", ""Int64""], [""lot_number"", ""String""], [""landCd"", ""String""], [""landLeaseholdGbn"", ""String""], [""registration_date"", ""String""], [""roadNm"", ""String""], [""roadNmBonbun"", ""String""], [""roadNmBubun"", ""String""], [""roadNmCd"", ""String""], [""roadNmSeq"", ""String""], [""roadNmSggCd"", ""String""], [""roadNmbCd"", ""String""], [""district_code"", ""String""], [""seller_type"", ""String""], [""neighborhood_code"", ""String""], [""neighborhood"", ""String""], [""deal_date"", ""Date""]]",37.7,seoul-apartment-trades/20260922-6660c8e25162,0.4.0.dev0+096d023f9546,4fcca24e0506aaaa9bd018c58542ce8a84a348b4,False
