dataset,role,required,primitive_type_normalization,numeric_formatting,identifier_padding,date_year_month_normalization,null_canonicalization,derived_field,unchanged
seoul-apartment-rent,apt_name,True,0,0,0,0,0,0,1221491
seoul-apartment-rent,apt_seq,False,0,0,0,0,0,0,1221491
seoul-apartment-rent,area_m2,True,1221491,0,0,0,0,0,0
seoul-apartment-rent,build_year,False,0,0,0,0,0,0,1221491
seoul-apartment-rent,contract_date,True,0,0,0,0,0,1221491,0
seoul-apartment-rent,contract_term,False,0,0,0,0,0,0,1221491
seoul-apartment-rent,contract_type,False,0,0,0,0,0,0,1221491
seoul-apartment-rent,deal_day,False,0,0,0,0,0,0,1221491
seoul-apartment-rent,deal_month,False,0,0,0,0,0,0,1221491
seoul-apartment-rent,deal_year,False,0,0,0,0,0,0,1221491
seoul-apartment-rent,deposit_10k_krw,True,14367,1207124,0,0,0,0,0
seoul-apartment-rent,district_code,True,1221491,0,0,0,0,0,0
seoul-apartment-rent,floor,False,0,0,0,0,0,0,1221491
seoul-apartment-rent,lot_number,False,3041,0,0,0,0,0,1218450
seoul-apartment-rent,monthly_rent_10k_krw,False,51606,688,0,0,0,0,1169197
seoul-apartment-rent,neighborhood,False,0,0,0,0,0,0,1221491
seoul-apartment-rent,prior_deposit,False,0,0,0,0,0,0,1221491
seoul-apartment-rent,prior_monthly_rent,False,0,0,0,0,0,0,1221491
seoul-apartment-trades,agent_district,False,0,0,0,0,0,0,233596
seoul-apartment-trades,apt_name,True,0,0,0,0,0,0,233596
seoul-apartment-trades,apt_seq,False,0,0,0,0,0,0,233596
seoul-apartment-trades,area_m2,True,233596,0,0,0,0,0,0
seoul-apartment-trades,build_year,False,0,0,0,0,0,0,233596
seoul-apartment-trades,buyer_type,False,0,0,0,0,0,0,233596
seoul-apartment-trades,cancel_day,False,0,0,0,0,0,0,233596
seoul-apartment-trades,cancel_type,False,0,0,0,0,0,0,233596
seoul-apartment-trades,deal_date,True,0,0,0,0,0,233596,0
seoul-apartment-trades,deal_day,False,0,0,0,0,0,0,233596
seoul-apartment-trades,deal_month,False,0,0,0,0,0,0,233596
seoul-apartment-trades,deal_year,False,0,0,0,0,0,0,233596
seoul-apartment-trades,dealing_type,False,0,0,0,0,0,0,233596
seoul-apartment-trades,district_code,True,233596,0,0,0,0,0,0
seoul-apartment-trades,floor,False,0,0,0,0,0,0,233596
seoul-apartment-trades,lot_number,False,628,0,0,0,0,0,232968
seoul-apartment-trades,neighborhood,False,0,0,0,0,0,0,233596
seoul-apartment-trades,neighborhood_code,False,233596,0,0,0,0,0,0
seoul-apartment-trades,price_10k_krw,True,0,233596,0,0,0,0,0
seoul-apartment-trades,registration_date,False,0,0,0,0,0,0,233596
seoul-apartment-trades,seller_type,False,0,0,0,0,0,0,233596
seoul-bike-rent-month,age_band,False,0,0,0,0,0,0,4902236
seoul-bike-rent-month,carbon_kg,False,4896982,0,0,0,5254,0,0
seoul-bike-rent-month,distance_m,False,4902236,0,0,0,0,0,0
seoul-bike-rent-month,duration_min,False,4902236,0,0,0,0,0,0
seoul-bike-rent-month,exercise_kcal,False,4896982,0,0,0,5254,0,0
seoul-bike-rent-month,gender,False,0,0,0,0,1981081,0,2921155
seoul-bike-rent-month,pass_type,False,0,0,0,0,0,0,4902236
seoul-bike-rent-month,station_code,True,0,0,2241547,0,0,0,2660689
seoul-bike-rent-month,station_name,False,0,0,0,0,0,0,4902236
seoul-bike-rent-month,use_count,True,4902236,0,0,0,0,0,0
seoul-bike-rent-month,ym_raw,True,0,0,0,1914327,0,0,2987909
