task,engine,scenario,n_pairs,materialized_median,monolithic_median,median_paired_ratio,median_paired_delta_seconds
task01,pandas,S1,5,0.0222966000437736,0.9084020000882448,41.43560138290946,0.886105400044471
task01,pandas,S2,5,0.6748834999743849,0.9401466997805984,1.3561373597345163,0.2468933998607099
task01,pandas,S3,5,1.8039122999180108,0.9437863000202924,0.5334292026644241,-0.8416528000961989
task01,pandas,S4,5,1.7164596000220629,0.8922766000032425,0.5041546243939448,-0.8775705001316965
task01,polars,S1,5,0.013592200120911,0.1158716999925673,8.670391759369167,0.1042574997991323
task01,polars,S2,5,0.1004199001472443,0.1183585999533534,1.1421172488385682,0.01427139993757
task01,polars,S3,5,0.3020641000475734,0.1253561000339687,0.4751767947305393,-0.1641461001709103
task01,polars,S4,5,0.312362500000745,0.1356162000447511,0.4763776060985791,-0.1635600000154227
task03,pandas,S1,5,0.0141270000021904,8.011725699994713,567.8611376108539,7.997617099899799
task03,pandas,S2,5,4.624028700171039,6.987234599888325,1.4805076489406743,2.213193300180137
task03,pandas,S3,5,9.382647100137548,6.566425499971956,0.700433138726088,-3.094788999762386
task03,pandas,S4,5,10.962334200041369,7.863196700112894,0.7170564713860731,-3.135976399993524
task03,polars,S1,5,0.0107704999390989,0.9534394999500364,84.66844669717392,0.9399602999910712
task03,polars,S2,5,0.7285925999749452,0.9002494001761079,1.2396023541277452,0.1716568002011627
task03,polars,S3,5,1.86668620002456,0.9876035000197588,0.5359284311288931,-0.8551864000037313
task03,polars,S4,5,2.1520688000600785,1.1214368001092223,0.525912368626649,-1.0202691999729725
